,price,beds,bedrooms,bathrooms,zipcode,neighbourhood,property_type,room_type,accommodates,guests_included,minimum_nights,instant_bookable
23786,55.0,1,1.0,1.0,91601.0,North Hollywood,Apartment,Private room,2,1,2,1
23787,150.0,1,1.0,1.0,90266.0,Manhattan Beach,House,Private room,2,1,30,1
23788,49.0,0,1.0,1.0,90505.0,Torrance,House,Private room,2,1,2,1
23789,45.0,1,1.0,1.0,90065.0,Glassell Park,House,Private room,1,1,7,0
23790,35.0,1,0.0,1.0,91748.0,,House,Private room,2,1,2,0
23791,169.0,2,2.0,2.0,90302.0,Inglewood,House,Entire home/apt,6,5,2,1
23792,66.0,1,1.0,2.0,90066.0,Del Rey,House,Private room,2,1,2,1
23793,85.0,1,1.0,1.0,90048.0,Mid-Wilshire,Apartment,Private room,2,2,30,1
23794,79.0,2,0.0,1.0,91106.0,Pasadena,Guesthouse,Entire home/apt,3,2,2,0
23795,80.0,1,1.0,1.0,91104.0,Pasadena,Guesthouse,Entire home/apt,2,1,2,1
23796,1500.0,4,4.0,6.0,90265.0,Malibu,House,Entire home/apt,8,1,2,0
23797,145.0,4,3.0,2.0,90701.0,Artesia,House,Entire home/apt,7,7,2,1
23798,155.0,2,2.0,1.0,90302.0,Westchester/Playa Del Rey,House,Entire home/apt,6,4,2,1
23799,89.0,2,0.0,1.0,90302.0,Westchester/Playa Del Rey,Other,Entire home/apt,4,3,2,1
23800,189.0,1,1.0,1.0,90049.0,Brentwood,Apartment,Entire home/apt,2,2,30,0
23801,98.0,2,0.0,1.0,90017.0,Westlake,Apartment,Entire home/apt,4,1,7,1
23802,499.0,3,2.0,2.0,90015.0,Downtown,Apartment,Entire home/apt,7,1,3,1
23803,93.0,3,1.0,1.0,90006.0,Mid-Wilshire,House,Private room,3,2,2,0
23804,93.0,1,1.0,2.5,90006.0,Westlake,House,Private room,2,2,2,0
23805,95.0,1,1.0,1.0,90036.0,Mid-Wilshire,Apartment,Private room,2,1,30,0
23806,85.0,1,1.0,1.0,90025.0,West Los Angeles,Apartment,Entire home/apt,3,2,3,1
23807,450.0,4,3.0,2.0,90036.0,Mid-Wilshire,House,Entire home/apt,7,6,30,0
23808,45.0,1,1.0,1.0,90038.0,Hollywood,Apartment,Private room,2,1,30,1
23809,80.0,1,1.0,1.0,91001.0,Altadena,Guest suite,Private room,2,1,1,0
23810,200.0,2,2.0,2.0,90017.0,Westlake,Loft,Entire home/apt,4,1,1,1
23811,129.0,3,2.0,2.0,91754.0,Monterey Park,Townhouse,Entire home/apt,7,7,3,1
23812,225.0,5,4.0,1.0,90802.0,Long Beach,House,Entire home/apt,8,1,1,1
23813,350.0,2,2.0,2.0,90290.0,Topanga,House,Private room,4,1,1,0
23814,49.0,1,1.0,1.0,93551.0,,House,Private room,2,2,1,0
23815,250.0,2,2.0,2.0,90028.0,Hollywood,Apartment,Entire home/apt,5,1,3,1
23816,399.0,4,2.0,2.0,90017.0,Downtown,Apartment,Entire home/apt,8,1,1,1
23817,349.0,7,4.0,2.0,90019.0,Mid-Wilshire,House,Entire home/apt,11,8,1,1
23818,112.0,1,1.0,1.0,90806.0,Long Beach,Condominium,Entire home/apt,4,2,1,1
23819,112.0,2,1.0,1.0,90806.0,Long Beach,Condominium,Entire home/apt,4,2,1,1
23820,112.0,1,1.0,1.0,90806.0,Long Beach,Condominium,Entire home/apt,4,2,1,0
23821,150.0,2,2.0,1.0,90065.0,Eagle Rock,House,Entire home/apt,4,4,30,1
23822,50.0,1,1.0,1.0,91765.0,,House,Private room,1,1,30,1
23823,105.0,1,1.0,1.5,90062.0,South LA,House,Entire home/apt,3,2,2,0
23824,40.0,1,1.0,1.5,91010.0,Duarte,Townhouse,Private room,2,1,1,1
23825,10.0,2,1.0,0.5,90810.0,Long Beach,Guesthouse,Shared room,2,1,1,0
23826,59.0,1,1.0,1.0,90039.0,Atwater Village,Guesthouse,Entire home/apt,2,1,2,1
23827,75.0,1,1.0,1.5,90069.0,West Hollywood,Condominium,Private room,2,1,1,1
23828,125.0,1,1.0,1.0,91207.0,Glendale,Bungalow,Private room,1,1,2,0
23829,100.0,1,1.0,1.0,90277.0,Redondo Beach,Townhouse,Private room,2,2,1,1
23830,650.0,5,4.0,3.0,90068.0,Cahuenga Pass,House,Entire home/apt,8,8,3,0
23831,115.0,1,1.0,1.0,90278.0,Redondo Beach,House,Entire home/apt,2,1,2,0
23832,190.0,3,3.0,2.5,91754.0,Alhambra,Apartment,Entire home/apt,6,1,1,1
23833,110.0,2,1.0,1.0,90068.0,Cahuenga Pass,Guest suite,Entire home/apt,2,1,2,0
23834,49.0,1,1.0,1.0,91304.0,West Hills,House,Private room,2,1,2,0
23835,53.0,1,0.0,1.0,90031.0,Lincoln Heights,Guesthouse,Entire home/apt,2,1,3,0
23836,28.0,1,1.0,1.0,90802.0,Long Beach,House,Shared room,1,1,1,1
23837,1250.0,4,4.0,3.5,90210.0,Bel Air/Beverly Crest,House,Entire home/apt,6,6,2,0
23838,1395.0,5,5.0,5.5,90048.0,Mid-Wilshire,Villa,Entire home/apt,10,10,3,0
23839,70.0,1,1.0,1.0,90802.0,Long Beach,Hotel,Private room,2,1,1,1
23840,189.0,2,2.0,2.0,91754.0,Monterey Park,Condominium,Entire home/apt,4,1,2,1
23841,285.0,3,2.0,2.0,91210.0,Glendale,Condominium,Entire home/apt,4,1,31,0
23842,75.0,4,1.0,1.0,91406.0,Lake Balboa,Bungalow,Entire home/apt,5,3,31,0
23843,295.0,3,3.0,2.5,91436.0,Encino,House,Entire home/apt,6,1,31,0
23844,1395.0,5,5.0,5.5,90048.0,Mid-Wilshire,Villa,Entire home/apt,10,10,3,0
23845,59.0,2,1.0,1.0,90036.0,Mid-Wilshire,Apartment,Private room,4,1,30,0
23846,299.0,3,2.0,2.0,90025.0,Westwood,Apartment,Entire home/apt,14,3,1,1
23847,1395.0,5,5.0,7.0,90046.0,West Hollywood,Villa,Entire home/apt,10,10,30,0
23848,225.0,1,1.0,1.0,90046.0,Bel Air/Beverly Crest,Bungalow,Entire home/apt,2,2,3,0
23849,100.0,1,1.0,1.0,90028.0,Hollywood,Apartment,Entire home/apt,2,1,1,0
23850,70.0,1,1.0,1.0,90012.0,Downtown,Condominium,Private room,2,1,2,1
23851,60.0,1,1.0,1.0,90004.0,Mid-Wilshire,Apartment,Entire home/apt,2,1,2,1
23852,180.0,2,2.0,2.0,90034.0,Mid-Wilshire,Apartment,Entire home/apt,5,4,1,1
23853,130.0,2,1.0,1.0,90017.0,Westlake,Apartment,Entire home/apt,6,4,1,1
23854,200.0,3,3.0,2.0,91203.0,Glendale,Condominium,Entire home/apt,5,1,3,0
23855,1985.0,3,4.0,3.5,90077.0,Bel Air/Beverly Crest,House,Entire home/apt,6,6,30,1
23856,75.0,1,1.0,1.0,90302.0,Inglewood,Guesthouse,Entire home/apt,2,1,1,0
23857,260.0,7,3.0,2.0,91505.0,Burbank,House,Entire home/apt,8,1,1,1
23858,25.0,1,3.0,1.0,90061.0,Willowbrook,House,Entire home/apt,3,1,30,0
23859,300.0,4,1.0,1.0,90292.0,Marina Del Rey,Apartment,Entire home/apt,6,6,1,0
23860,65.0,1,1.0,1.0,90015.0,Westlake,House,Private room,1,1,1,1
23861,200.0,2,2.0,1.0,90803.0,Long Beach,House,Entire home/apt,4,4,4,1
23862,1299.0,5,4.0,5.5,90210.0,Beverly Hills,Villa,Entire home/apt,10,4,3,0
23863,125.0,3,2.0,2.0,90018.0,South LA,House,Entire home/apt,6,6,1,0
23864,900.0,4,4.0,3.5,90210.0,Beverly Hills,House,Entire home/apt,8,1,31,0
23865,125.0,1,1.0,1.5,90291.0,Venice,Bed and breakfast,Private room,2,1,1,0
23866,1350.0,6,4.0,3.0,90210.0,Beverly Hills,House,Entire home/apt,8,1,31,0
23867,179.0,1,1.0,1.0,90025.0,Westside,Apartment,Entire home/apt,4,2,30,1
23868,2500.0,5,4.0,5.0,90210.0,Beverly Hills,House,Entire home/apt,8,1,31,0
23869,110.0,1,1.0,1.5,90291.0,Venice,Bed and breakfast,Private room,2,1,1,0
23870,350.0,3,3.0,2.0,91364.0,Woodland Hills/Warner Center,House,Entire home/apt,4,1,7,0
23871,226.0,3,3.0,3.5,,Hollywood,Townhouse,Entire home/apt,6,1,30,0
23872,250.0,2,1.0,1.0,90265.0,Malibu,Camper/RV,Entire home/apt,4,1,2,0
23873,45.0,1,1.0,1.0,91766.0,,Guest suite,Entire home/apt,2,2,3,1
23874,244.0,4,3.0,1.5,91335.0,Tarzana,House,Entire home/apt,6,6,3,1
23875,549.0,2,2.0,2.0,90038.0,Hollywood,House,Entire home/apt,6,4,1,1
23876,49.0,1,1.0,1.0,90047.0,South LA,House,Private room,2,1,1,0
23877,65.0,2,1.0,1.0,91770.0,Rosemead,House,Entire home/apt,4,3,1,1
23878,250.0,2,1.0,1.0,90024.0,Westwood,Condominium,Private room,4,1,1,0
23879,33.0,1,1.0,1.5,90019.0,Mid-Wilshire,House,Shared room,1,1,1,1
23880,32.0,1,0.0,2.0,90027.0,Hollywood,Guest suite,Private room,1,1,1,1
23881,125.0,3,3.0,1.0,90006.0,Westlake,House,Entire home/apt,6,1,14,0
23882,135.0,2,1.0,1.0,90017.0,Downtown,Apartment,Entire home/apt,5,4,30,1
23883,161.0,3,2.0,2.0,90017.0,Westlake,Apartment,Entire home/apt,6,1,2,1
23884,80.0,2,1.0,1.0,90004.0,Mid-Wilshire,Apartment,Entire home/apt,2,1,60,1
23885,210.0,3,2.0,2.0,90292.0,Del Rey,Apartment,Entire home/apt,6,4,30,0
23886,30.0,1,1.0,1.0,93535.0,,House,Private room,2,1,1,1
23887,48.0,1,1.0,1.0,91754.0,Monterey Park,House,Private room,2,1,3,1
23888,99.0,1,1.0,1.0,90232.0,Culver City,Apartment,Entire home/apt,2,1,1,0
23889,150.0,0,0.0,1.0,90802.0,Long Beach,Condominium,Entire home/apt,2,1,2,1
23890,1250.0,7,5.0,4.5,90272.0,Pacific Palisades,Villa,Entire home/apt,10,5,14,0
23891,139.0,0,0.0,1.0,90012.0,Downtown,Boutique hotel,Hotel room,2,2,1,1
23892,90.0,1,1.0,1.0,91504.0,Burbank,Apartment,Entire home/apt,3,2,2,1
23893,45.0,1,1.0,1.0,91601.0,North Hollywood,Apartment,Private room,2,1,30,0
23894,85.0,1,1.0,1.0,90039.0,Silver Lake,Apartment,Entire home/apt,2,1,30,1
23895,89.0,1,1.0,1.0,90802.0,Long Beach,Apartment,Entire home/apt,2,1,1,1
23896,55.0,1,1.0,1.0,91604.0,Studio City,House,Private room,1,1,30,0
23897,35.0,1,1.0,1.0,91724.0,Glendora,House,Private room,1,1,1,0
23898,50.0,2,1.0,1.0,90029.0,Hollywood,Apartment,Entire home/apt,1,1,30,1
23899,52.0,1,1.0,1.0,90302.0,Inglewood,Condominium,Private room,2,1,2,1
23900,150.0,1,1.0,2.0,90028.0,Hollywood,Apartment,Private room,2,1,1,1
23901,175.0,3,2.0,1.0,90013.0,Downtown,Loft,Entire home/apt,5,1,2,0
23902,99.0,1,1.0,1.0,90017.0,Westlake,Apartment,Entire home/apt,4,1,1,1
